,,[원신 올인원 준종결표] ver.7.0,,,,,,,,* 원하는 캐릭은 [Ctrl + F] 로 찾기    *시트를 60% 이하로 확장 시 전체 확인 가능,,,,,· 대표적인 2세트 성유물은 아래 밑줄된 성유물에 [마우스를 올려] 확인 가능,,,,,,,
,,,,,,,,,,※ 제작자의 주관적 의견이 포함되어 있을 수 있어 실제 세팅 시 참고용으로만 봐주시기 바랍니다 ※ ,,,,,[2세트 성유물 확인],,,,,,,
캐릭터,,"권장
 레벨/특성",특성,역할군,,,성유물,,,,권장 옵션,,,,,추천 무기,,권장 스탯,,,비고,"기타 무기·세팅 상세창
[클릭]"
,,,,,,,,,,,시계,성배,왕관,부옵션,,,,치확/치피,유효 스탯,원충,,
,,<권장 스텟 기준>,,,,,<아이콘 설명>,,,,<기타 설명>,,,,,,,,,,,
🔖 뉴비는 함께 보시면 좋아요!,,"1. 공명, 무기 버프 등 스탯에 반영 X",,,,,,=딜러,,=5성 무기,· 특성에 ( )로 되어 있는 건 안 찍어도 됨,,,,"· 치확 보정 성유물(ex. 얼음, 그림자, 흑요석, 경계 등)을 착용하는 캐릭터의 경우 표기된 스펙의 치확 이하로 맞추어 치확 100%에 가깝게 세팅",,,,,,,
· ｢원신 용어 정리｣,,"(무기의 기초 공격력, 부옵션, 조건 없는 무기 버프는 반영됩니다)",,,,,,=서포터,,=4성 무기,· 파티 버프 요원 / 원소 반응 전환 요원은 캐릭터 이름에 #으로 표기됨,,,,또한 파티에 치확 보정 버프를 지닌 캐릭터를 편성하거나 특정 전투 환경에서는 치확:치피를 1:2 비율로 치확을 치피로 전환하여 유동적으로 세팅,,,,,,,
· ｢원신 성유물 정리｣,,2. 캐릭터 - 4성 풀돌 기준 / 5성 명함 기준,,,,,,=힐러/보호막 서포터,,=3성 무기,· 상세 역할군은 해당 캐릭터의 역할군 칸에 마우스를 올리면 확인 가능,,,,"· 권장 스탯의 이상을 세팅하는 것이 좋으나, #D32F2F으로 표시된 치확은 여러 요인으로 인한 치확 상한치로 해당 수치 이하로 세팅",,,,,,,
· ｢원신 뉴비 가이드｣,,"3. 무기 - 4성 무기(한정 무기 제외) 5재련 / 5성, 4성 한정 무기 1재련 기준",,,,,,,,,· 역할군 / 원소 반응에 대한 용어는 아래 링크를 [클릭]하여 확인 가능,,,,,,,,,,,
(클릭하시면 이동됩니다!),,4. 캐릭터 권장 레벨/특성 + 기준 성유물으로 계산,,,,,,=온필드 캐릭터,,,- [뉴비도 이해하는 원신의 역할군 총정리],,,,· 폰타인 단조 무기의 경우 베넷 단독 편성 시 무기 스킬 발동이 어려움으로 푸리나와 함께 쓰거나 다른 힐러를 사용하는 것을 추천함,,,,,,,
,,(레벨 돌파가 된 80렙 기준),,,,,,=오프필드 캐릭터,,,- [뉴비도 이해하는 원신의 원소 반응 (기초편)],,,,  ㄴ 해연의 피날레(한손검) / 파도 그림자 대검(양손검) / 공의의 보상(장병기) / 순수한 달빛 물결(법구) / 고요한 노래(활),,,,,,,
,,(기준 성유물이 표시X => 성유물별 스탯 변화X),,,,,,,,,,,,,,,,,,,,
,"마비카
#밤혼",90렙/9렙,"E, Q",,,A) 온필드 딜러,"A,B) 1) 흑요석 4세트",,,,"원마
 공%",불원피,치확 / 치피,치확 / 치피 / 원마 / 공%,,,타오르는 천 개의 태양 (마비카 전무),1) 60/180,공:1600 원마:200,유효옵 X,,마비카.png
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2) 70/160,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,이무기 검 (기행 무기),1) 60/210,공:1300 원마:200,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"B) 오프필드 딜러
 (잿더미 요원)
 온필드 피증 서포터",B) 2) 잿더미 4세트,,,,,,,,,,,2) 80/170,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,파도 그림자 대검 (단조 무기) *(힐러 권장),1) 60/150,공:1700 원마:200,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2) 70/140,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"니콜
 #마도",90렙/9렙,"E, Q",,,"파티 공증 서포터
온필드 추가타 서포터
보호막 서포터",은총 4세트 [세팅 기준],,,,"공%
 원충",공%,공%,공% / 원충 / 공,,,일곱빛 계시 (니콜 전무),-,공:3800,150,"불 공명 O + 공 버프 기준 공 4000 목표
 (다른 스탯에 비례하는 공 버프는 적용 X)
 (단, 슈브르즈 공 버프는 적용됨)",니콜.png
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,맹세의 눈동자 (이벤트 무기),,공:3300,,,
,,,,,,,왕실 4세트,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,순수한 달빛 물결 (단조 무기),,,170,,
,,,,,,,,,,,,,,,,,,,,,,
,"두린
#마도",90렙/9렙,"Q, E",,,"오프필드 딜러
 적 물 / 얼음 원소 제외 내깍 서포터",마도 4세트 [세팅 기준],,,,공%,"불원피
 공%",치확 / 치피,치확 / 치피 / 공% / 원충,,,검은 침식 (두린 전무),80/180,공:2000,140,파티에 불 캐릭터 2명 이상 추천,두린.png
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,왕실 4세트,,,,,,,,,,늑대 송곳니 (기행 무기),80/170,공:1800,,불 공명 O + 공 버프 기준 공 2500 목표,
,,,,,,,,,,,,,,,,,,,,,,
